Rank,NCT_Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor_Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
589,NCT02731248,Pulse Oximeter Screening in Congenital Heart Disease,Recruiting,No Results Available,Congenital Heart Disease,Other: Prospective screening study,Dr. Sami Ulus Children's Hospital,Both,Child,,50000,Other,Observational,Time Perspective: Prospective,SamiUlusCH-CHD,"April 2, 2016",Apr-16,May-17,"April 2, 2016",Apr-16,No Study Results Posted,POX,Apr-17,pulse oximeter positivity|echocardiographic confirmation,https://ClinicalTrials.gov/show/NCT02731248
590,NCT02731235,The Effect of Aerobic Exercise in Patients With Minor Stroke,Recruiting,No Results Available,"Stroke, Lacunar",Other: High-intensity training|Drug: prophylactic stroke medication|Behavioral: Recommendations for lifestyle changes,Herlev Hospital|University of Copenhagen|Association of Danish Physiotherapists,Both,Adult|Senior,,84,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Single Blind (Outcomes Assessor),H-15012371,"January 22, 2016",Jan-16,Mar-22,"April 6, 2016",Apr-16,No Study Results Posted,HITPALS,Mar-17,Difference in the 'Graded Cycling Test with Talk Test'|Endothelial response|Physical Activity Scale (PAS)|Short time activity measurements|The WHO-five Well-being Index (WHO-5)|Montreal Cognitive Assessment (MOCA)|Major Depression Inventory (MDI)|Multidimensional Fatigue Inventory (MFI-20)|Ull-Meter|Blood samples|Magnetic resonance Imaging (MRI),https://ClinicalTrials.gov/show/NCT02731235
591,NCT02731222,Prevalence of Onychodystrophy in Patients With Chronic Venous Disease of Lower Limbs,Recruiting,No Results Available,Lower Extremity Chronic Venous Insufficiency|Onychodystrophy,Other: observational - statistical / one single group,FundaciÌ_ Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Both,Adult|Senior,,40,Other,Observational,Observational Model: Case-Crossover|Time Perspective: Cross-Sectional,IIBSP-ONI-2015-67,"February 24, 2016",Nov-15,Mar-17,"April 1, 2016",Apr-16,No Study Results Posted,null,May-16,Prevalence of onycodystrophy,https://ClinicalTrials.gov/show/NCT02731222
592,NCT02731209,Functional Urodynamic Changes in Chronic Kidney Disease Patients and Does Insertion of Urinary Catheter Delay the Need for Kidney Dialysis,Recruiting,No Results Available,"Renal Insufficiency, Chronic",Device: urinary catheter,Assaf Harofeh MC|Assaf-Harofeh Medical Center,Both,Adult|Senior,,100,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,0308-15-ASF,"February 22, 2016",Feb-16,null,"April 2, 2016",Apr-16,No Study Results Posted,null,Feb-17,kidney function change|time to dialysis,https://ClinicalTrials.gov/show/NCT02731209
593,NCT02731196,Comparison of Exercise Intervention Effects Following Lumbar Microdiscectomy,Recruiting,No Results Available,Injury of Nerve Root of Lumbar and Sacral Spine,Behavioral: Exercise Intervention,Ottawa Hospital Research Institute|University of Ottawa,Both,Adult,,40,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Supportive Care|Masking: Open Label,20150717-01H,"April 1, 2016",Apr-16,Jan-17,"April 6, 2016",Apr-16,No Study Results Posted,null,Dec-16,Oswestry Low Back Disability Questionnaire|Numeric Pain Rating Scale|Fear Avoidance Beliefs Questionnaire|Patient Specific Functional Scale|Lumbar mobility of flexion and extension|Slump test mobility|Straight leg raise|50 ft Walk test|Step count per day|Return to work,https://ClinicalTrials.gov/show/NCT02731196
594,NCT02731183,Efficacy and Safety of Fecal Microbiota Transplantation for Chronic Intestinal Pseudo-obstruction,Recruiting,No Results Available,Chronic Intestinal Pseudo Obstruction,Procedure: fecal microbiota transplantation,"Jinling Hospital, China",Both,Adult|Senior,Phase 1,10,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,FMT-CIPO,"April 2, 2016",Sep-15,Sep-16,"April 6, 2016",Apr-16,No Study Results Posted,null,Jun-16,the tolerance of enteral nutrition (EN) through nasojejunal tube|the time oral intake started|symptomatic relief|scoring evaluation of abdominal CT,https://ClinicalTrials.gov/show/NCT02731183
595,NCT02731092,Safety and Tolerability of Lactoferrin in Very Low Birth Weight Infants,Recruiting,No Results Available,Very Low Birth Weight Infants,Dietary Supplement: Lactoferrin,University of Virginia|The Gerber Foundation,Both,Child,Phase 1,30,Other,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,IRB-HSR 18130,"March 18, 2016",Apr-16,Mar-17,"April 18, 2016",Apr-16,No Study Results Posted,null,Dec-16,Definitely related study solution serious adverse event|Number of infants reaching 120 ml/kg of enteral feeds|Number of days not receiving any feedings after lactoferrin administration,https://ClinicalTrials.gov/show/NCT02731092
596,NCT02731053,Effectiveness Trial of the French Blues Indicated Depression Prevention Program,Recruiting,No Results Available,Depression,Behavioral: Blues program,UniversitÌ© de MontrÌ©al,Both,Child|Adult,Phase 4,72,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Outcomes Assessor)",FRQSC2016-NP-191870,"March 15, 2016",Mar-16,Nov-16,"April 6, 2016",Apr-16,No Study Results Posted,French Blues,Nov-16,"Number of participants who develop a major depressive episode as measured using the SCID diagnostic interview|Change in depressive symptoms as measured using continuous SCID scores|Change in depressive symptoms as measured using the CES-D questionnaire|Change in depressive symptoms as measured using the PHQ-9 questionnaire|Change in social adjustment as measured using ""Ìävaluation sociale de Soi chez les jeunes adultes"" questionnaire (Michaud et al., 2006)|Change in anxiety symptoms as measured using the SCAS questionnaire|Change in parent-child relationship as measured using a scale from the MASPAQ questionnaire (Leblanc, 1996)|Change in affective school engagement as measured using a subscale of the school engagement questionnaire (Archambault et al., 2009)|Change in substance use as measured using a scale from the MASPAQ questionnaire (Leblanc, 1996)|Change in delinquent behaviors as measured using a scale from the MASPAQ questionnaire (Leblanc, 1996)",https://ClinicalTrials.gov/show/NCT02731053
597,NCT02731027,Biomarkers of Spontaneous Recovery From Traumatic Spinal Cord Injury,Recruiting,No Results Available,Spinal Cord Injury,,Northwell Health|United States Department of Defense|New York State Department of Health|University of Louisville|Kessler Foundation,Both,Adult|Senior,,100,Other|U.S. Fed,Observational,Observational Model: Cohort|Time Perspective: Prospective,14612,"March 17, 2016",Oct-15,Oct-18,"April 1, 2016",Apr-16,No Study Results Posted,null,Oct-18,Circulating inflammatory response from the peripheral blood for each SCI participant|ASIA Impairment Scale (AIS) Grade for each SCI participant|Spinal Cord Independence Measure (SCIM) for each SCI participant|Neuromuscular Recovery Scale (NRS) for each SCI participant,https://ClinicalTrials.gov/show/NCT02731027
598,NCT02730988,Effect of High Protein Weight Loss for Seniors,Recruiting,No Results Available,Obesity|Weight Loss,Behavioral: Weight Stable Group,Wake Forest University|Wake Forest School of Medicine,Both,Adult|Senior,,124,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Single Blind (Outcomes Assessor),33428,"February 21, 2016",Jul-15,Jul-17,"April 1, 2016",Apr-16,No Study Results Posted,null,Jul-17,"400 Meter Gait Walk Speed|24-week body composition change at baseline, 12-weeks and 24-weeks",https://ClinicalTrials.gov/show/NCT02730988
599,NCT02730975,Pharmacokinetic Food-effect Study of Abiraterone Acetate (AA) in Castration Resistant Prostate Cancer,Recruiting,No Results Available,Prostate Cancer,Drug: AA Reduced dose-normal diet (A)|Drug: AA reduced dose-fat diet (B)|Drug: AA normal dose-fasting conditions (C),FundaciÌ_n PÌ¼blica Andaluza para la gestiÌ_n de la InvestigaciÌ_n en Sevilla,Male,Adult|Senior,Phase 1,42,Other,Interventional,Allocation: Randomized|Endpoint Classification: Pharmacokinetics Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,ABIFOOD01|2012-003226-25,"September 15, 2015",Jun-14,Sep-17,"April 1, 2016",Apr-16,No Study Results Posted,ABIFOOD01,Sep-16,Area under curve (AUC)|Peak Plasma Concentration (Cmax)|Time to reach peak plasma concentration (Tmax)|PSA (Prostate Specific Antigen) levels|Response rate|Pain intensity|Use of analgesics|Total daily dose of analgesics,https://ClinicalTrials.gov/show/NCT02730975
600,NCT02730910,Anthocyanin & Phenolic Acids Bioavailability & Antioxidant Capacity After Consumption of Purple Wheat Products in Adults,Recruiting,No Results Available,Healthy,Other: Purple Wheat Crackers|Other: Purple Wheat Granola Bars,University of Guelph,Both,Adult,,16,Other,Interventional,Allocation: Randomized|Endpoint Classification: Bio-availability Study|Intervention Model: Crossover Assignment|Primary Purpose: Basic Science|Masking: Single Blind (Outcomes Assessor),UGuelph,"January 21, 2016",Oct-15,Dec-16,"April 1, 2016",Apr-16,No Study Results Posted,null,Apr-16,Plasma concentrations of anthocyanin metabolites|Plasma concentrations of phenolic acids|Plasma antioxidant capacity|Urinary concentrations of phenolic acids|Urinary concentrations of anthocyanin metabolites,https://ClinicalTrials.gov/show/NCT02730910
601,NCT02730845,Intra-articular Versus Intravenous Dexmedetomidine in Arthroscopic Knee Surgeries Under Local Anesthesia,Recruiting,No Results Available,Knee Arthroscopy,Drug: Intra-articular dexmedetomidine|Drug: Intravenous dexmedetomidine,Mansoura University,Both,Adult,,100,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Supportive Care|Masking: Double Blind (Subject, Investigator)",R‰ö¥ 15.10.40,"February 11, 2016",Dec-15,May-16,"April 6, 2016",Apr-16,No Study Results Posted,null,Apr-16,Pain scores|Heart rate|Blood pressure|Oxygen saturation|Respiratory rate|Level of sedation|Patient Satisfaction Score|Time to first postoperative analgesic requirement|Intraoperative and postoperative side effects|Time to mobilization out of bed|Post-anesthesia care unit (PACU) length of stay,https://ClinicalTrials.gov/show/NCT02730845
602,NCT02730819,Topical Composition Therapy (2013-MCN-333) for the Treatment of Melasma,Recruiting,No Results Available,Melasma,Drug: Illuminate Cream,Mayo Clinic,Both,Adult,Phase 3,20,Other,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,15-005615,"March 29, 2016",Mar-16,Dec-16,"April 1, 2016",Apr-16,No Study Results Posted,null,Oct-16,Change in Melasma Area and Severity Index (MASI) score,https://ClinicalTrials.gov/show/NCT02730819
603,NCT02730728,Single Shot vs 24hr vs 48hr Continuous Adductor Canal Block After TKA,Recruiting,No Results Available,Total Knee Athroplasty|Osteoarthritis|Post Operative Pain Control,Drug: 20ml bolus of 0.5% ropivicane|Drug: 0.2% Ropivicane at 8 milliliter/hour|Drug: 5ml bolus of 0.5% ropivicane,University of Pennsylvania,Both,Adult|Senior,,150,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,823219,"March 23, 2016",Nov-15,Jun-16,"April 15, 2016",Apr-16,No Study Results Posted,null,May-16,Pain Scores as measured by the Visual Analog Scale|Participants need for pain relief as measured by opiate consumption|Recovery after surgery as measured by manuel muscle strength testing|Risk of falling score,https://ClinicalTrials.gov/show/NCT02730728
604,NCT02730663,A Study to Evaluate the Effectiveness and Safety of EUS-guided Transluminal Drainage With 'Niti-S SPAXUS Stent',Recruiting,No Results Available,Pancreatic Pseudocyst,Device: Niti-S SPAXUS Stent,"Taewoong Medical Co., Ltd.",Both,Adult|Senior,Phase 3,35,Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,SPAXUS-001,"March 28, 2016",Mar-16,Aug-17,"April 6, 2016",Mar-16,No Study Results Posted,null,Aug-17,Clinical success|Technical success|Stent lumen patency|Stent removal success|Procedure time|Procedural / Device related serious adverse events|Other adverse events,https://ClinicalTrials.gov/show/NCT02730663
605,NCT02730637,Prevention of Acute Kidney Injury Through Biomarker-guided Nephrological Intervention,Recruiting,No Results Available,Acute Kidney Injury,Other: Early nephrologist consultation,Robert Bosch Medical Center,Both,Adult|Senior,,250,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,RBK-348,"March 18, 2016",Mar-16,Mar-17,"April 6, 2016",Apr-16,No Study Results Posted,null,Feb-17,Incidence of AKI in both groups according to AKI KDIGO definition|Need for renal replacement therapy|Length of hospital stay|Death|Severety of AKI in both groups according to AKI KDIGO definition|Severity of AKI in both groups according to AKI KDIGO definition,https://ClinicalTrials.gov/show/NCT02730637
606,NCT02730611,"Metabolic Syndrome, Bile Acids, Hepatocellular Carcinoma and Cholangiocarcinoma",Recruiting,No Results Available,Morbid Obesity|Vertical Sleeve Gastrectomy|Metabolic Syndrome|Hepatocellular Carcinoma|Cholangiocarcinoma|Disorder of Bile Acid and Cholesterol Metabolism,,"Assistance Publique - HÌ«pitaux de Paris|National Cancer Institute, France|Centre International de la Recherche sur le Cancer|Institut National de la SantÌ© Et de la Recherche MÌ©dicale, France",Both,Adult|Senior,,120,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,PRT-K14-038,"April 1, 2016",Apr-16,Apr-19,"April 8, 2016",Apr-16,No Study Results Posted,METSLIVER,Apr-19,Blood bile acids (micromols per liter)|Hepatic FXR expression,https://ClinicalTrials.gov/show/NCT02730611
607,NCT02730598,Combined Application of Electrical Stimulated Antagonist Contraction During Walking (Walking Study),Recruiting,No Results Available,Knee Osteoarthritis,Device: Hybrid Training System (HTS)|Device: Sensory TENS,University of Kansas Medical Center|Kurume University,Female,Adult|Senior,,28,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor),STUDY00003435,"April 1, 2016",Feb-16,Sep-16,"April 1, 2016",Apr-16,No Study Results Posted,null,Sep-16,Change in Knee Extensor Strength|Change in Knee Pain,https://ClinicalTrials.gov/show/NCT02730598
608,NCT02730533,The Efficacy of Esomeprazole Premedication on Intraoperative Bleeding During Gastric ESD,Recruiting,No Results Available,Stomach Neoplasms,Drug: Esomeprazole|Drug: No PPI treatment,Xijing Hospital of Digestive Diseases,Both,Adult|Senior,,74,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Single Blind (Outcomes Assessor),KY20162024-1,"March 28, 2016",Mar-16,Dec-17,"April 5, 2016",Mar-16,No Study Results Posted,null,Sep-17,The total bleeding rate according to grading of intraoperative bleeding during ESD procedure|The frequency of coagrasper usage which reflects grade of major bleeding|Post-ESD ulcer quality as indicated in description|Intra-procedure injury to muscularis propria including perforation.|Mean haemoglobin reduction between intervention and control group.|Delayed bleeding rate as indicated by haematemesis and melaena|The mean percentage of mucosal defect reduction at follow-up endoscopy on 28 days after ESD procedure.,https://ClinicalTrials.gov/show/NCT02730533
609,NCT02730377,Efficacy in Controlling Glycaemia With Victozaå¨ (Liraglutide) as add-on to Metformin vs. OADs as add-on to Metformin After up to 104 Weeks of Treatment in Subjects With Type 2 Diabetes,Recruiting,No Results Available,"Diabetes|Diabetes Mellitus, Type 2",Drug: liraglutide|Drug: alpha-glucosidase inhibitors|Drug: DPP-4 inhibitors|Drug: meglitinides|Drug: SGLT-2 inhibitors|Drug: sulfonylurea|Drug: thiazolidinediones,Novo Nordisk A/S,Both,Adult|Senior,Phase 4,1994,Industry,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,NN2211-4232|2015-002417-29|U1111-1170-7035,"March 23, 2016",Mar-16,Apr-19,"April 6, 2016",Apr-16,No Study Results Posted,LIRA-PRIME,Apr-19,Time to inadequate glycaemic control defined as HbA1c above 7.0% (53 mmol/mol)|Number of subjects who achieve HbA1c below or equal to 6.5% (48 mmol/mol)|Number of subjects who achieve HbA1c below or equal to 7.0% (53 mmol/mol) without weight gain|Change in fasting plasma glucose (FPG)|Change in Body weight,https://ClinicalTrials.gov/show/NCT02730377
610,NCT02730338,INTense Exercise foR surVivAL Among Men With Metastatic Castrate-Resistant Prostate Cancer,Recruiting,No Results Available,Prostate Cancer Metastatic,Behavioral: High intensity aerobic and resistance training|Behavioral: Psychosocial support,"Movember Foundation|University of California, San Francisco|Edith Cowan University, Australia|King's College London|Centre hospitalier de l'UniversitÌ© de MontrÌ©al (CHUM)",Male,Adult|Senior,Phase 3,866,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,GAP4,"March 10, 2016",Dec-15,null,"March 31, 2016",Mar-16,No Study Results Posted,INTERVAL,Dec-22,Overall Survival|Disease Progression|Symptomatic Skeletal Related Events (SSE)|Opiate Use|Analgesic Use|Biomarker analysis|Quality of Life|Physical Function|Pain,https://ClinicalTrials.gov/show/NCT02730338
611,NCT02730325,To Evaluate the Impact of SBI on C. Difficile in Hospitalized UC Patients,Recruiting,No Results Available,Clostridium Difficile,Other: Serum-derived bovine immunoglobulin/protein isolate (SBI)|Other: Placebo,"Northwestern University|Entera Health, Inc",Both,Adult|Senior,,100,Other|Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",STU00200335,"February 5, 2016",Dec-15,Sep-17,"March 31, 2016",Mar-16,No Study Results Posted,null,Sep-17,Time (# of days) to resolution of diarrhea|Incidence of recurrent CDI|Incidence of C. difficile|UC status measured by P-SCCAI|UC status measured by BSS|UC status measured by Fecal calprotectin|UC status measured by CRP|UC status measured by colectomy rate|Nutritional Status measured by pre-albumin|Nutritional Status measured by albumin|Nutritional Status measured by hand grip strength|Nutritional Status measured by fecal alpha-1 antitrypsin|Safety and Tolerability evaluated by reported and observed treatment related adverse events|Quality of Life evaluated using the SF-36|Fecal Microbiome|Length of Hospitalization,https://ClinicalTrials.gov/show/NCT02730325
612,NCT02730221,Administrative Workload in the Intensive Care Unit,Recruiting,No Results Available,Critical Illness,,VU University Medical Center,Both,Child|Adult|Senior,,200,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2015.564,"March 31, 2016",Jan-16,May-17,"March 31, 2016",Mar-16,No Study Results Posted,AWIC,May-17,Login time in the PDMS per hour for nurses|Login time in the PDMS per hour for doctors|Amount of time spent on administrative work and documentation per shift for nurses|Amount of time spent on administrative work and documentation per shift for doctors|Amount of time spent on direct patient care per shift for nurses|Amount of time spent on direct patient care per shift for doctors,https://ClinicalTrials.gov/show/NCT02730221
613,NCT02730182,"Effect of High Altitude Exposure, Acclimatization and Re-exposure on Postural Control in Lowlanders",Recruiting,No Results Available,Effect of High Altitude,Other: altitude exposure,University of Zurich,Both,Adult,,18,Other,Interventional,Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label,REB15-2709_V3,"March 31, 2016",Mar-16,Dec-17,"April 12, 2016",Apr-16,No Study Results Posted,null,Dec-16,Center of pressure path length measured by Wii-balance board|Cerebral tissue oxygen saturation measured by near infrared spectroscopy|Postural stability measured by sharpened Romberg-test and heel-to-toe walk,https://ClinicalTrials.gov/show/NCT02730182
614,NCT02730156,"Effect of High Altitude Exposure, Acclimatization and Re-exposure on Right Ventricular Function in Lowlanders",Recruiting,No Results Available,Effect of High Altitude,Other: Altitude exposure,University of Zurich|University of Calgary,Both,Adult|Senior,,18,Other,Interventional,Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label,REB15-2709_V2,"March 31, 2016",Mar-16,Dec-17,"March 31, 2016",Mar-16,No Study Results Posted,null,Dec-16,Systolic pulmonary artery pressure measured by echocardiography|Indices of right ventricular dysfunction,https://ClinicalTrials.gov/show/NCT02730156
615,NCT02730143,"Effect of High Altitude Exposure, Acclimatization and Re-exposure on Nocturnal Breathing Pattern in Lowlanders",Recruiting,No Results Available,Effect of High Altitude,Other: Altitude exposure,University of Zurich|University of Calgary,Both,Adult,,18,Other,Interventional,Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label,REB15-2709_V1,"March 31, 2016",Mar-16,Dec-17,"March 31, 2016",Mar-16,No Study Results Posted,null,Dec-16,Mean nocturnal oxygen saturation measured by pulse oximetry|Apnea-/hypopnea index measured by respiratory polygraphy|Oxygen desaturation index measured by respiratory polygraphy|Acute mountain sickness measured by the Environmental Symptom questionnaire cerebral score (AMSc),https://ClinicalTrials.gov/show/NCT02730143
616,NCT02730117,Furosemide Stress Test Guiding Initiation of Renal Replacement Therapy,Recruiting,No Results Available,Acute Kidney Injury,Device: Dialysis with continuous renal replacement therapy|Device: Mechanical ventilator|Drug: Anti-Bacterial Agents|Drug: Vasopressors,Chulalongkorn University,Both,Adult|Senior,,116,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,IRB.006/59,"March 18, 2016",Mar-16,Dec-17,"March 31, 2016",Mar-16,No Study Results Posted,null,Mar-17,Net fluid balance during 7 days measured in milliliters after the enrollment|28-day mortality measured by number of deceased patients at 28-day after the enrollment|ICU-free days measured by number of days (28 days minus ICU length of stay)|mechanical ventilator-free days measured by number of days (28 days minus days using mechanical ventilator)|dialysis dependence measured by need for renal replacement therapy in 28 days,https://ClinicalTrials.gov/show/NCT02730117
617,NCT02730104,Community-based Neuroendocrine Tumor (NET) Research Study,Recruiting,No Results Available,Gastroenteropancreatic Neuroendocrine Tumors,,Ipsen,Both,Adult|Senior,,100,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,A-US-52030-340,"April 1, 2016",Nov-15,Dec-19,"April 1, 2016",Apr-16,No Study Results Posted,null,Dec-19,Time to disease progression|Overall survival|Adverse events|Change in flushing and diarrhea|Patient satisfaction with treatment,https://ClinicalTrials.gov/show/NCT02730104
618,NCT02730091,"A Open Study of Metronomic Oral Vinorelbine in Combination With Aromatase Inhibitors for the Treatment of Postmenopausal Women With Hormone Receptor Positive,HER2-negative, Advanced Breast Cancer Who Received no Prior Therapy for Advanced Disease",Recruiting,No Results Available,Breast Cancer,Drug: Letrozole|Drug: Anastrozole|Drug: Vinorelbine,Centre Hospitalier Universitaire de Besancon|Pierre Fabre Medicament,Both,Adult|Senior,Phase 3,340,Other|Industry,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,P/2015/253,"March 25, 2016",Feb-16,Feb-23,"March 31, 2016",Mar-16,No Study Results Posted,VICTORIANE,Feb-18,"progression-free survival (PFS)|health-related quality of life using HRQoL QLQ-C30 and BR23|overall response rate (ORR)|clinical benefit rate (CBR)|Safety assessed by NCI CTCAE version 4.0"",",https://ClinicalTrials.gov/show/NCT02730091
619,NCT02730039,Meaning-Centered Psychotherapy Training for Cancer Care Providers,Recruiting,No Results Available,Cancer Care Providers,Behavioral: workshop|Behavioral: follow-up calls & webinars|Behavioral: assessments,Memorial Sloan Kettering Cancer Center,Both,Adult|Senior,,240,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,15-321,"March 15, 2016",Dec-15,null,"March 31, 2016",Mar-16,No Study Results Posted,null,Dec-20,participant's skills uptake at the end of the MCPT session score range 0-10,https://ClinicalTrials.gov/show/NCT02730039
620,NCT02729987,Increasing Engagement With Online Stress Management Interventions,Recruiting,No Results Available,Emotional Stress,Behavioral: WorkGuru,University of Sussex,Both,Adult|Senior,,90,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Single Blind (Investigator),ER/SC587/1,"March 18, 2016",Apr-16,Dec-16,"April 20, 2016",Mar-16,No Study Results Posted,null,Oct-16,"Number of log-in to the site|Number of modules completed|Number of pages visited|Self-report engagement|Depressions, anxiety and stress|Well-being at work",https://ClinicalTrials.gov/show/NCT02729987
621,NCT02729935,Parecoxib for Treatment of Catheter Related Bladder Discomfort,Recruiting,No Results Available,Postoperative Pain,Drug: Parecoxib|Drug: Placebo,University Tunis El Manar,Both,Adult|Senior,Phase 4,100,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)",University Of Tunis El Manar,"March 31, 2016",Mar-16,Jun-16,"April 5, 2016",Apr-16,No Study Results Posted,null,May-16,Reducing of Catheter related bladder discomfort symptoms|Severity of Pain at suprapubic area|safety and tolerability of parecoxib,https://ClinicalTrials.gov/show/NCT02729935
622,NCT02729857,Postprandial Response After Intake of Meals With Different Fatty Acid Composition,Recruiting,No Results Available,Healthy|Familial Hypercholesterolemia,Dietary Supplement: SFA muffin|Dietary Supplement: PUFA muffin,University of Oslo|Oslo University Hospital|Mills DA,Both,Adult,,40,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",2015/2392/REK sÌür-Ìüst B,"March 31, 2016",Mar-16,Dec-16,"April 5, 2016",Apr-16,No Study Results Posted,null,Jun-16,Change in levels of circulating triglycerides|Changes in markers of lipid- and glucose metabolism|Changes in circulating levels of inflammatory markers|Changes in PBMC gene expression levels of markers of inflammation and lipid metabolism|Changes in lipid classes and lipoprotein size|Changes in plasma and urine metabolomics|Check DNA for single nuclear polymorphisms|Changes in PBMC Whole genome transcriptomics,https://ClinicalTrials.gov/show/NCT02729857
623,NCT02729818,Adaptation Time Required for the Optimisation of Maia Microperimetry Visual Field Testing,Recruiting,No Results Available,Retina; Change,,University of Oxford,Both,Adult|Senior,,40,Other,Observational,Time Perspective: Prospective,DarkAdapt,"February 25, 2016",Feb-16,Feb-17,"April 5, 2016",Mar-16,No Study Results Posted,null,Aug-16,"Change in average threshold of tests following different dark adaptation periods will be compared.|Change in fixation stability, as defined by the area in which 95% of the fixation points for any specific test fall, following different dark adaptation periods will be compared.",https://ClinicalTrials.gov/show/NCT02729818
624,NCT02729805,Intraoperative Ketamine on Chronic Pain After Mastectomy,Recruiting,No Results Available,Chronic Pain,Drug: Saline|Drug: Ketamine 0.5mg/kg|Drug: Ketamine 0.75mg/kg,The University of Hong Kong,Both,Adult|Senior,Phase 4,135,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",UW15-079,"June 28, 2015",Aug-15,Sep-17,"March 31, 2016",Mar-16,No Study Results Posted,null,Aug-17,Severity of chronic pain|Incidence of neuropathic pain,https://ClinicalTrials.gov/show/NCT02729805
625,NCT02729792,Canadian rTMS Treatment and Biomarker Network in Depression Trial,Recruiting,No Results Available,Depression,Device: rTMS,"Centre for Addiction and Mental Health|University Health Network, Toronto|University of British Columbia|Brain Canada",Both,Adult,Phase 4,202,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)",052-2015,"March 29, 2016",Mar-16,Dec-18,"March 31, 2016",Mar-16,No Study Results Posted,CARTBIND,Apr-18,17-item Hamilton Rating Scale for Depression (HRSD-17) Change,https://ClinicalTrials.gov/show/NCT02729792
